doi,journal,volume,issue,editor,submitted,revised,decision,accepted,online,finalversion,issueonline,issuedate
10.1111/j.1461-0248.2006.00883.x,Ecology Letters,9,03,Mark Schwartz,2005-09-28,NA,2005-11-04,2005-12-13,2006-02-16,NA,2006-03-31,2006-04-01
10.1890/0012-9658(2006)87[1523:isoqei]2.0.co;2,Ecology,87,06,NA,2005-08-16,2005-12-09,NA,2005-12-13,2008-09-11,NA,NA,2006-06-01
10.1890/es11-00224.1,Ecosphere,3,03,D. P. C. Peters,2011-08-02,2011-10-21,NA,2011-10-24,2012-03-13,2012-02-28,NA,2012-03-01
10.1525/cond.2009.111.2.cover,The Condor,111,05,NA,NA,NA,NA,NA,2013-12-31,NA,NA,2009-05-01
10.7717/peerj.92,PeerJ,1,06,Yoh Iwasa,2013-02-11,NA,NA,2013-06-03,2013-06-18,NA,NA,NA
10.1098/rspb.2008.1467,Proceedings of the Royal Society B: Biological Sciences,276,03,NA,2008-10-09,NA,NA,2008-11-27,2009-03-22,NA,NA,2009-03-22
10.1098/rsbl.2010.0270,Biology Letters,6,04,NA,2010-03-19,NA,NA,2010-03-24,2010-04-14,NA,NA,2010-08-23
10.1111/j.1461-0248.2007.01028.x,Ecology Letters,10,05,Peter Thrall,2006-11-03,NA,2006-12-20,2007-02-13,2007-05-08,NA,2007-05-08,2007-05-01
10.1890/0012-9658(2006)87[2244:moftse]2.0.co;2,Ecology,87,09,NA,2005-11-07,2006-02-21,NA,2006-03-02,2008-09-11,NA,NA,2006-09-01
10.1890/es10-00073.1,Ecosphere,1,12,D. P. C. Peters,2010-09-05,2010-09-30,NA,2010-10-04,2010-12-07,NA,NA,2010-12-01
10.1525/cond.2008.8521,The Condor,110,08,NA,2007-11-27,NA,NA,2008-07-23,2009-01-19,NA,NA,2008-08-01
10.7717/peerj.184,PeerJ,1,10,Pei-Yuan Qian,2013-07-30,NA,NA,2013-10-01,2013-10-22,NA,NA,NA
10.1098/rspb.2012.0614,Proceedings of the Royal Society B: Biological Sciences,279,05,NA,2012-03-16,NA,NA,2012-04-20,NA,NA,NA,2012-08-07
10.1098/rsbl.2007.0457,Biology Letters,3,12,NA,2007-09-05,NA,NA,2007-09-20,2007-12-22,NA,NA,2007-12-22
10.1111/j.1461-0248.2006.00939.x,Ecology Letters,9,08,Nicholas Gotelli,2006-02-14,NA,2006-03-24,2006-04-20,2006-06-12,NA,2006-06-12,2006-08-01
10.1890/0012-9658(2006)87[1331:sfvafi]2.0.co;2,Ecology,87,05,NA,2005-11-04,2005-12-05,NA,2005-11-08,2008-09-11,NA,NA,2006-05-01
10.1890/es12-00370.1,Ecosphere,4,03,D. P. C. Peters,2012-11-27,NA,NA,NA,2013-03-18,2013-02-20,NA,2013-03-01
10.1525/cond.2009.090032,The Condor,111,05,NA,2009-02-19,NA,NA,2009-04-03,2009-05-23,NA,NA,2009-05-01
10.7717/peerj.360,PeerJ,2,05,Marion Röder,2014-01-21,NA,NA,2014-04-03,2014-05-01,NA,NA,NA
10.1098/rspb.2012.0902,Proceedings of the Royal Society B: Biological Sciences,279,06,NA,2012-04-19,NA,NA,2012-05-30,2012-06-20,NA,NA,2012-09-22
10.1098/rsbl.2013.0418,Biology Letters,9,07,NA,2013-05-03,NA,NA,2013-06-17,2013-07-10,NA,NA,2013-08-23
10.1111/j.1461-0248.2008.01233.x,Ecology Letters,12,03,Tim Wootton,2008-07-04,NA,NA,2008-07-10,2008-08-07,NA,2009-02-18,2009-03-01
10.1890/09-1931.1,Ecology,91,07,NA,2009-10-21,2010-01-20,NA,2010-02-17,2010-07-06,NA,NA,2010-07-01
10.1890/es12-00054.1,Ecosphere,3,07,D. P. C. Peters,2012-02-22,2012-04-12,NA,2012-04-13,2012-07-18,2012-06-05,NA,2012-07-01
10.1525/cond.2013.120047,The Condor,115,08,NA,2012-03-14,NA,NA,2013-03-11,2013-09-09,NA,NA,2013-08-01
10.7717/peerj.106,PeerJ,1,07,Fabiano Thompson,2013-04-30,NA,NA,2013-06-25,2013-07-16,NA,NA,NA
10.1098/rspb.2011.1257,Proceedings of the Royal Society B: Biological Sciences,279,07,NA,2011-06-15,NA,NA,2011-07-05,2011-07-27,NA,NA,2012-02-22
10.1098/rsbl.2012.0049,Biology Letters,8,04,NA,2012-01-17,NA,NA,2012-03-16,2012-08-23,NA,NA,2012-08-23
10.1111/j.1461-0248.2005.00789.x,Ecology Letters,8,06,NA,NA,NA,NA,NA,2005-06-15,NA,2005-06-15,2005-07-01
10.1890/06-1989.1,Ecology,88,11,NA,2006-11-30,2007-03-05,NA,2007-03-13,2008-09-11,NA,NA,2007-11-01
10.1890/es12-00220.1,Ecosphere,3,10,D. P. C. Peters,2012-07-18,2012-09-25,NA,2012-09-27,2012-10-19,NA,NA,2012-10-01
10.1525/cond.2008.8476,The Condor,110,05,NA,2007-08-30,NA,NA,2008-03-14,2009-01-19,NA,NA,2008-05-01
10.7717/peerj.96,PeerJ,1,06,Jack Stanford,2013-04-12,NA,NA,2013-06-07,2013-06-25,NA,NA,NA
10.1098/rspb.2008.1215,Proceedings of the Royal Society B: Biological Sciences,276,02,NA,2008-08-29,NA,NA,2008-09-23,NA,NA,NA,2009-02-07
10.1098/rsbl.2013.0675,Biology Letters,9,10,NA,2013-07-29,NA,NA,2013-09-26,2013-10-23,NA,NA,2013-12-23
10.1111/j.1461-0248.2008.01188.x,Ecology Letters,11,08,Rebecca Irwin,2008-02-15,NA,NA,2008-03-12,2008-04-14,NA,2008-07-08,2008-08-01
10.1890/13-0032.1,Ecology,95,01,B. P. Wilco,2013-01-07,2013-04-11,NA,2013-06-25,2014-01-20,NA,NA,2014-01-01
10.1890/es13-00210.1,Ecosphere,5,05,J. Nippert,2013-07-02,2013-11-21,NA,2013-11-25,2014-05-22,2014-03-21,NA,2014-05-01
10.1525/cond.2012.114.1.239,The Condor,114,02,NA,NA,NA,NA,NA,2012-03-23,NA,NA,2012-02-01
10.7717/peerj.296,PeerJ,2,03,Hannah Buckley,2013-12-24,NA,NA,2014-02-10,2014-03-11,NA,NA,NA
10.1098/rspb.2010.0988,Proceedings of the Royal Society B: Biological Sciences,277,06,NA,2010-05-10,NA,NA,2010-06-09,2010-06-30,NA,NA,2010-12-22
10.1098/rsbl.2006.0480,Biology Letters,2,09,NA,2006-02-21,NA,NA,2006-03-23,2006-09-22,NA,NA,2006-09-22
